0:0:0:0:0:0:0:1 - - [13/May/2020:15:46:34 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:15:46:35 +0900] "GET /bigdata/index.do?pageNum=2 HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [13/May/2020:15:46:37 +0900] "GET /bigdata/index.do?pageNum=1 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:15:55:02 +0900] "GET /bigdata/index.do?pageNum=1 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:15:55:03 +0900] "GET /bigdata/index.do?pageNum=1 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:15:55:08 +0900] "GET /bigdata/index.do?pageNum=1 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:15:55:15 +0900] "GET /bigdata/index.do?pageNum=2 HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [13/May/2020:16:01:55 +0900] "GET /bigdata/index.do?pageNum=1 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:16:02:02 +0900] "GET /bigdata/mvcboard/view.do?idx=7 HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [13/May/2020:16:02:06 +0900] "GET /bigdata/mvcboard/view.do?idx=8 HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [13/May/2020:16:02:08 +0900] "GET /bigdata/mvcboard/view.do?idx=9 HTTP/1.1" 200 2412
0:0:0:0:0:0:0:1 - - [13/May/2020:16:15:43 +0900] "GET /bigdata/index.do?pageNum=2 HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [13/May/2020:16:15:46 +0900] "GET /bigdata/index.do?pageNum=1 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:17:29:30 +0900] "GET /bigdata/mvcboard/view.do?idx=6 HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [13/May/2020:17:52:27 +0900] "GET /bigdata/mvcboard/view.do?idx=6 HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [13/May/2020:17:52:35 +0900] "GET /bigdata/mvcboard/view.do?idx=4 HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [13/May/2020:17:52:37 +0900] "GET /bigdata/mvcboard/reply.do?idx=4 HTTP/1.1" 200 2923
0:0:0:0:0:0:0:1 - - [13/May/2020:17:52:48 +0900] "POST /bigdata/mvcboard/replyOk.do HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [13/May/2020:17:52:53 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:17:52:55 +0900] "GET /bigdata/index.do?pageNum=2 HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [13/May/2020:17:53:01 +0900] "GET /bigdata/index.do?pageNum=1 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:17:53:03 +0900] "GET /bigdata/index.do?pageNum=2 HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [13/May/2020:17:53:05 +0900] "GET /bigdata/index.do?pageNum=1 HTTP/1.1" 200 3404
